"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/loading/Loading.tsx", "TypeScript JSX", 0, 83, 0, 0, 5, 88
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/about/About.styles.ts", "TypeScript", 155, 0, 0, 0, 16, 171
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/about/About.tsx", "TypeScript JSX", 0, 78, 0, 0, 7, 85
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/menu/Menu.styles.ts", "TypeScript", 203, 0, 0, 0, 19, 222
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/menu/Menu.tsx", "TypeScript JSX", 0, 108, 0, 0, 9, 117
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/sign-in/SignIn.styles.ts", "TypeScript", 193, 0, 0, 0, 17, 210
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/sign-in/SignIn.tsx", "TypeScript JSX", 0, 119, 0, 1, 10, 130
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/sign-up/SignUp.styles.ts", "TypeScript", 200, 0, 0, 0, 18, 218
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/modals/sign-up/SignUp.tsx", "TypeScript JSX", 0, 113, 0, 0, 11, 124
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/Paywall.styles.ts", "TypeScript", 106, 0, 0, 0, 11, 117
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/Paywall.tsx", "TypeScript JSX", 0, 78, 0, 0, 7, 85
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/payInfo/PayInfo.styles.ts", "TypeScript", 194, 0, 0, 0, 19, 213
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/payInfo/PayInfo.tsx", "TypeScript JSX", 0, 69, 0, 0, 5, 74
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/payment/Payment.styles.ts", "TypeScript", 166, 0, 0, 0, 15, 181
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/payment/Payment.tsx", "TypeScript JSX", 0, 53, 0, 0, 6, 59
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/success/Success.styles.ts", "TypeScript", 87, 0, 0, 0, 9, 96
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/components/pages/paywall/components/success/Success.tsx", "TypeScript JSX", 0, 33, 0, 0, 5, 38
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/custom.d.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/main.tsx", "TypeScript JSX", 0, 9, 0, 0, 2, 11
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/routes/root.tsx", "TypeScript JSX", 0, 48, 0, 1, 5, 54
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/services/axios.ts", "TypeScript", 32, 0, 0, 0, 6, 38
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/services/localStorage.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/store/authReducer.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/store/index.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/styles/fonts.css", "CSS", 0, 0, 25, 0, 5, 30
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/styles/global.css", "CSS", 0, 0, 11, 0, 2, 13
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/styles/index.css", "CSS", 0, 0, 3, 0, 0, 3
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/styles/normalize.css", "CSS", 0, 0, 146, 129, 74, 349
"/Users/mykhailokurov/Documents/code/lambda/eternal_fe/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 2839, 1708, 185, 145, 529, 5406
